Vocabulary List
-----------------------------
1. Zealous - उत्साही  Ans. Enthusiastic
2. Feeble - कमजोर  Ans. Weak
3. Ready - तैयार  Ans. Prepare
4. Hostile - दुश्मन  Ans. Unfriendly
5. Insidious - धोखेबाज  Ans. Harmful
6. Abound - प्रचुर होना  Ans. Flourish
7. Peruse - ध्यान से  Ans. Check
8. Matching - समान होना  Ans. Resembling
9. Vain - बेकार  Ans. Useless
10. Consent - सहमति  Ans. Assent
11. Vigilant - सतर्क  Ans. Cautious
12. Intriguing - लुभावना  Ans. Interesting
13. Respectful - कटुता परायण  Ans. Dutiful
14. Verbose - बातूनी  Ans. Talkative
15. Explain - विस्तार से बताना  Ans. Elaborate
16. Consequence - परिणाम  Ans. Outcome
17. Unbiased - निरपेक्ष  Ans. Objective
18. Degradation - पतन  Ans. Degeneration
19. Certain - निश्चित  Ans. Definite
20. Benevolent - परोपकारी  Ans. Generous
21. Eager - उत्सुक  Ans. Keen
22. Tedious - थकानेवाला  Ans. Tiresome
23. Vendetta - विरोध  Ans. Disagreement
24. Incredible - अविश्वसनीय  Ans. Unbelievable
25. Adamant - हठी  Ans. Stubborn
26. Authentic - वास्तविक  Ans. Genuine
27. Treacherous - विश्वासघाती  Ans. Disloyal
28. Follow - अनुकरण करना  Ans. Emulate
29. To sever - तोड़ना  Ans. Ramify
30. Scam - धोखाधड़ी  Ans. Swindle
31. Apathy - उदासीनता  Ans. Indifference
32. Diligent - मेहनती  Ans. Careful
33. Hapless - दुर्भाग्यशाली  Ans. Unfortunate
34. Temerity - गुस्ताखी  Ans. Impudence
Pinnacle Synonyms And Antonyms
----------------------------------------------------
1. Vulnerable - असुरक्षित  Ans. At risk
2. Luminous - चमकदार  Ans. Resplendent
3. Vast - लंबा - चौड़ा  Ans. Extensive
4. Delight - प्रसन्न करना  Ans. Enchant
5. Genial - आनंददायक  Ans. Cheerful
6. Absorbed - अवशोषित  Ans. Soaked
7. Jargon - अनौपचारिक भाषा  Ans. Slang
8. Fierce - उग्र  Ans. Aggressive
9. Education - शिक्षा  Ans. Pedagogy
10. Transgression - उल्लंघन  Ans. Violation
11. Comprehensive - संपूर्ण  Ans. Complete
12. Earnestly - निष्ठापूर्वक  Ans. Sincerely
13. Crooked - मुड़ा हुआ  Ans. Twisted
14. Retaliation - प्रतिशोध  Ans. Revenge
15. Exuberance - जीवंतता, उत्साह  Ans. Vibrancy
16. Judicious - विवेकपूर्ण  Ans. Sensible
17. Extol - प्रशंसा करना  Ans. Praise, Glorify
18. Committed - समर्पित  Ans. Dedicated
19. Gentle - दयालु  Ans. Sympathetic
20. Predicament - असमंजस  Ans. Quandary
21. Extinct - विलुप्त  Ans. Vanished
22. Audacity - साहस  Ans. Courage
23. Mortal - घातक  Ans. Lethal
24. Modest - संकोची  Ans. Shy
25. Imperishable - स्थायी  Ans. Sustainable
26. Reduce - कम करना  Ans. Cut down
27. Predators - शिकारी  Ans. Exploiters
28. Credible - विश्वसनीय  Ans. Dependable
29. Devastating - विनाशकारी  Ans. Destructive
30. Reproduce - प्रतिकृति बनाना  Ans. Replicate
31. Connote - अर्थ सूचित करना  Ans. Convey
32. Immerse - शामिल करना  Ans. Involve
33. Enervated - कमजोर बनाना  Ans. Weaken
34. Fragile - नाजुक  Ans. Delicate
35. Hapless - भाग्यहीन  Ans. Ill-fated
36. Plethora - प्रचुरता  Ans. Excess
37. Updated - अद्यतन / नवीनीकरण करना  Ans. Latest
38. Paranoia - पागलपन  Ans. Anxiety
39. Sustainable - सतत  Ans. Maintainable
40. Deposited - जमा किया गया  Ans. Delivered
41. Awful - भयानक  Ans. Terrible
42. Committed - प्रतिबद्ध  Ans. Devoted
43. Flout - अवहेलना  Ans. Defy
44. Faithful - ईमानदार  Ans. Devoted
45. Challenge - चुनौती  Ans. A calling into question
46. Radical - कट्टर  Ans. Fanatical
47. Expound - स्पष्ट करना  Ans. Present and explain in detail
48. Ulterior - पूर्ववत  Ans. Eventual
49. Heartless - निर्दयी  Ans. Cruel
50. Ability - योग्यता  Ans. Skill
51. Lying - गुमराह करना  Ans. Misleading
52. Convinced - आश्वस्त करना  Ans. Accepting
53. Wage - पारिश्रमिक  Ans. Emolument
54. Panic - भय  Ans. Fright
55. Equivocal - अनेकार्थ  Ans. Ambiguous
56. Gauge - मापना  Ans. Measure
57. Spikes - बढ़ाना  Ans. Increases
58. Confirm - पुष्टि करना  Ans. Corroborate
Pinnacle Synonyms And Antonyms
----------------------------------------------------
93. Advantage - लाभ  Ans. Boon
94. Travesty - मजाक  Ans. Mockery
95. Withdraw - हट जाना  Ans. Retreat
96. Jaded - थका हुआ  Ans. Fatigued
97. Kidding - मजाक करना  Ans. Joking
98. Impede - बाधा डालना  Ans. Thwart
99. Distraction - ध्यान भटकना  Ans. Confusion
100. Valet - सेवक  Ans. Butler
101. Paradise - स्वर्गलोक  Ans. Bliss
102. Calamity - विफलता  Ans. Debacle
103. Deadly - जानलेवा  Ans. Fatal
104. Abide - निवास करना  Ans. Dwell
105. Judge - न्यायाधीश  Ans. Decide
106. Console - सांत्वना देना  Ans. Solace
107. Backfire - प्रतिघात करना  Ans. Collapse
108. Unfamiliar - अपरिचित  Ans. Strange
109. Voluminous - विशालकाय  Ans. Commodious
110. Fetish - इच्छा  Ans. Desire
111. Description - विवरण  Ans. Definition
112. Toddler - छोटा बच्चा  Ans. Newborn
113. Legend - पौराणिक कथाएँ  Ans. Tradition
114. Inquisitive - जिज्ञासु  Ans. Curious
115. Victorious - विजेता  Ans. Champion
116. Feat - पराक्रम  Ans. Accomplishment
117. Nihilistic - शून्यवाद संबंधी  Ans. Cynical
118. Virtuoso - कला-वीण  Ans. Maestro
119. Decapitate - सिर कलम करना  Ans. Behead
120. Fall guy - बिल का बकरा  Ans. Scapegoat
121. Argument - तक़रीब - वितर्क  Ans. Explanation
122. Debased - अवमूल्यन करना  Ans. Corrupted
123. Self-esteem - आत्म सम्मान  Ans. Pride
124. Consecutive - लगातार  Ans. Successive
125. Arrogance - अभिमान  Ans. Dominance
126. Attack - आक्रमण करना  Ans. Assault
127. Aptitude - योग्यता  Ans. Talent
128. Relocation - पुनर्वास  Ans. Migration
129. Easiness - सुगमता  Ans. Gullibility
130. Gust - तेज हवा  Ans. Blow
131. Fabulously - शानदार ढंग से  Ans. Fantastically
132. Tale - कहानी / कथा  Ans. Story
133. Subtle - नाजुक  Ans. Exquisite
134. Consensus - सर्वसम्मति  Ans. Agreement
135. Versions - संस्करण  Ans. Variations
136. Backstab - विश्वासघाती  Ans. Betray
137. Villainous - उपद्रवी  Ans. Nefarious
138. Serious - गंभीर  Ans. Severe
139. Alleviate - कमी करना  Ans. Diminish
140. Hindered - बाधा डालना  Ans. Discouraged
141. Venial - क्षम्य  Ans. Pardonable
142. Complex - जटिल  Ans. Convoluted
143. Upsetting - परेशान करना  Ans. Perturbing
144. Trust - विश्वास  Ans. Believe
145. Autonomous - स्वायत्त  Ans. Independent
146. Contrite - पछतावा  Ans. Remorseful
147. Appropriate - उपयुक्त  Ans. Competent
148. Damaged - क्षतिग्रस्त  Ans. Marred
149. Opposite - विपरीत  Ans. Antagonistic
150. Enervate - बेजान बनाना  Ans. Devitalize
151. Wraith - आत्मा  Ans. Spirit
152. Excited - उत्साहित  Ans. Eager
153. Happy - प्रसन्न  Ans. Blissful
Pinnacle Synonyms And Antonyms
----------------------------------------------------
154. Contradict - विरोधाभास  Ans. Contravene
155. Firmly - दृढ़तापूर्वक  Ans. Stiffly
156. Wealthy - धनवान  Ans. Affluent
157. Prejudice - पूर्वाग्रह करना  Ans. Intolerance
158. Golden - सुनहरा  Ans. Shining
159. Dehydrated - निर्जलीकृत  Ans. Drained
160. Welter - अस्त-व्यस्त  Ans. Turmoil
